city,street,segment_id,point_id,distance_m,lon,lat,heading_road,heading_sidewalk_right,heading_sidewalk_left,image_file,image_path,gsv_status,gsv_url_sidewalk,abs_image_path,building_frac,sky_frac,road_frac,tree_frac,grass_frac,sidewalk_frac,seg_vis_file,seg_vis_path,seg_features_text,sidewalk_quality_and_walkability_score,greenery_score,building_enclosure_score,Comfort_and_perceived_safety_score,total_score,gpt_comment
"Philadelphia, Pennsylvania, USA",Walnut Street,0,16,4000,-75.22105765,39.95642178152013,279.1949760635904,9.194976063590389,189.1949760635904,idx0144_seg0_pt16_h9.jpg,gsv_sidewalk_250m\idx0144_seg0_pt16_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95642178152013,-75.22105764672378&heading=9.194976063590389",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0144_seg0_pt16_h9.jpg,0.241730957,0.049501953,0.029611816,0.278781738,0.00125,0.248701172,seg_idx0144_seg0_pt16_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0144_seg0_pt16_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 24.2% building facades, 3.0% roadway, 24.9% sidewalks, 27.9% trees, 0.1% grass, and 5.0% sky.",19,18,20,18,75,"With about 24.9% sidewalks and only 3.0% roadway, plus a wide, continuous sidewalk visible with minimal obstructions, walkability is strong. Roughly 28% trees and visible mature street trees, along with well-maintained rowhouse facades providing enclosure, create a comfortable, shaded, and visually coherent environment with limited car dominance, supporting good perceived safety."
"Philadelphia, Pennsylvania, USA",Market Street,7,2,500,-75.14451108,39.94998361098005,99.39957893365306,189.39957893365303,9.399578934,idx0069_seg7_pt2_h189.jpg,gsv_sidewalk_250m\idx0069_seg7_pt2_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94998361098005,-75.14451108210687&heading=189.39957893365303",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0069_seg7_pt2_h189.jpg,0.340463867,0.031486816,0.006003418,0.212380371,0,0.013864746,seg_idx0069_seg7_pt2_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0069_seg7_pt2_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.0% building facades, 0.6% roadway, 1.4% sidewalks, 21.2% trees, 0.0% grass, and 3.1% sky.",18,18,21,17,74,"Despite the low 1.4% sidewalk share, the image shows a continuous, active sidewalk with outdoor seating and many pedestrians, though it is somewhat narrow and partly constrained by parked cars. With 21.2% trees and mature street trees providing shade plus 34% building facades forming a well-maintained, continuous street wall, the space feels enclosed and lively, but the presence of multiple parked cars and limited visible roadway slightly reduces comfort and perceived safety."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,45,11250,-75.14732127,39.94881431842466,99.74449049011326,189.7444904901133,9.744490490113265,idx0125_seg0_pt45_h190.jpg,gsv_sidewalk_250m\idx0125_seg0_pt45_h190.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94881431842466,-75.14732126970303&heading=189.7444904901133",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0125_seg0_pt45_h190.jpg,0,0.039858398,0,0.504558105,0.010439453,0.209020996,seg_idx0125_seg0_pt45_h190.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0125_seg0_pt45_h190.jpg,"According to a semantic segmentation model, this street-view image contains approximately 0.0% building facades, 0.0% roadway, 20.9% sidewalks, 50.5% trees, 1.0% grass, and 4.0% sky.",22,24,8,20,74,"With about 20.9% labeled as sidewalk and a visibly wide, unobstructed brick path supporting many pedestrians, walkability is strong. Roughly 50.5% trees and additional landscaping create heavy shade and greenery, while the low roadway presence in view and a fence-defined edge offer comfortable, safe-feeling conditions despite minimal building enclosure."
"Philadelphia, Pennsylvania, USA",Walnut Street,0,4,1000,-75.19445493,39.95312207708597,279.1362696465926,9.136269647,189.1362696465926,idx0132_seg0_pt4_h9.jpg,gsv_sidewalk_250m\idx0132_seg0_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95312207708597,-75.19445492908635&heading=9.13626964659261",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0132_seg0_pt4_h9.jpg,0.35159668,0.137424316,0.190854492,0.160527344,0.01980957,0.039694824,seg_idx0132_seg0_pt4_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0132_seg0_pt4_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 35.2% building facades, 19.1% roadway, 4.0% sidewalks, 16.1% trees, 2.0% grass, and 13.7% sky.",18,19,20,17,74,"Despite only 4.0% of the image being labeled as sidewalk, the photo shows a continuous, reasonably wide sidewalk with street trees and street furniture separating it from the 19.1% roadway. The 16.1% trees and 2.0% grass, plus a green plaza, along with well-maintained mid-rise buildings (35.2% facades) create good enclosure and greenery, while moderate traffic and on-street parking slightly reduce overall comfort and perceived safety."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,43,10750,-75.1517555,39.9493604,99.07151385946725,189.07151385946725,9.071513859467244,idx0123_seg0_pt43_h189.jpg,gsv_sidewalk_250m\idx0123_seg0_pt43_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9493604043377,-75.15175549505106&heading=189.07151385946725",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0123_seg0_pt43_h189.jpg,0.636047363,0,0,0.007912598,0,0.281103516,seg_idx0123_seg0_pt43_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0123_seg0_pt43_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 63.6% building facades, 0.0% roadway, 28.1% sidewalks, 0.8% trees, 0.0% grass, and 0.0% sky.",22,8,23,20,73,"With about 28.1% sidewalks and no visible roadway, the image shows a wide, unobstructed, high-quality sidewalk adjacent to an active building frontage, supporting good walkability and comfort. Although trees/grass are minimal in the segmentation (0.8% trees, 0.0% grass), planters and some street trees add modest greenery, while the well-maintained, continuous building facade provides strong enclosure and a sense of safety."
"Philadelphia, Pennsylvania, USA",Walnut Street,3,1,250,-75.1450142,39.94695356195097,279.8383953,9.838395313985984,189.8383953,idx0159_seg3_pt1_h10.jpg,gsv_sidewalk_250m\idx0159_seg3_pt1_h10.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.94695356195097,-75.14501419897479&heading=9.838395313985984",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0159_seg3_pt1_h10.jpg,0.02932373,0.006796875,0.094919434,0.500461426,0.051035156,0.054816895,seg_idx0159_seg3_pt1_h10.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0159_seg3_pt1_h10.jpg,"According to a semantic segmentation model, this street-view image contains approximately 2.9% building facades, 9.5% roadway, 5.5% sidewalks, 50.0% trees, 5.1% grass, and 0.7% sky.",20,24,10,19,73,"With about 5.5% sidewalks and only 9.5% roadway, the image shows a wide, unobstructed brick sidewalk along a calm street, which supports good walkability and comfort. Roughly 50% trees and 5.1% grass create a lush, shaded environment, while limited visible building facade (2.9%) and set-back houses mean weaker urban enclosure but a pleasant, park-like feel behind a well-maintained fence."
"Philadelphia, Pennsylvania, USA",Walnut Street,3,6,1500,-75.15609703,39.948333341618834,279.2806091775307,9.280609178,189.28060917753072,idx0164_seg3_pt6_h9.jpg,gsv_sidewalk_250m\idx0164_seg3_pt6_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.948333341618834,-75.15609703399319&heading=9.28060917753072",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0164_seg3_pt6_h9.jpg,0.491325684,0,0.023105469,0.095446777,0,0.377331543,seg_idx0164_seg3_pt6_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0164_seg3_pt6_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 49.1% building facades, 2.3% roadway, 37.7% sidewalks, 9.5% trees, 0.0% grass, and 0.0% sky.",22,10,21,20,73,"With about 37.7% sidewalks and very little roadway (2.3%), the image shows a wide, unobstructed sidewalk with curbs and street furniture that supports good walkability. Roughly 49.1% building facade and visible active ground-floor uses create strong enclosure, while limited but present trees (9.5%) and lighting contribute some greenery and a generally comfortable, safe-feeling environment."
"Philadelphia, Pennsylvania, USA",Market Street,2,4,1000,-75.17407946,39.953696805868574,279.1379326653482,9.137932665348217,189.13793266534825,idx0036_seg2_pt4_h9.jpg,gsv_sidewalk_250m\idx0036_seg2_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.953696805868574,-75.17407946178015&heading=9.137932665348217",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0036_seg2_pt4_h9.jpg,0.337792969,0.085852051,0.392932129,0.105644531,0.004484863,0.064243164,seg_idx0036_seg2_pt4_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0036_seg2_pt4_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 33.8% building facades, 39.3% roadway, 6.4% sidewalks, 10.6% trees, 0.4% grass, and 8.6% sky.",18,17,20,17,72,"Despite sidewalks making up only about 6.4% of the segmentation, the image shows wide, continuous, well-maintained pedestrian space with bike racks and minimal obstructions. Moderate greenery (about 10.6% trees) and several mature street trees soften the tall, well-kept office buildings (33.8% facades), while the relatively high roadway share (39.3%) and multi-lane traffic slightly reduce overall comfort and perceived safety."
"Philadelphia, Pennsylvania, USA",Walnut Street,0,3,750,-75.1922384,39.95284509511758,279.25858897245143,9.258588972451436,189.25858897245143,idx0131_seg0_pt3_h9.jpg,gsv_sidewalk_250m\idx0131_seg0_pt3_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95284509511758,-75.19223840103004&heading=9.258588972451436",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0131_seg0_pt3_h9.jpg,0.291728516,0.17644043,0.375769043,0.063979492,0.003825684,0.054316406,seg_idx0131_seg0_pt3_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0131_seg0_pt3_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 29.2% building facades, 37.6% roadway, 5.4% sidewalks, 6.4% trees, 0.4% grass, and 17.6% sky.",20,15,19,18,72,"Despite sidewalks making up only about 5.4% of the segmentation, the image shows wide, continuous, well-paved sidewalks with marked crosswalks and active ground-floor uses, supporting good walkability. Moderate greenery (6.4% trees, little grass) and a strong, well-maintained building edge create enclosure and comfort, though the large share of roadway (37.6%) and visible car traffic slightly reduce perceived safety."
"Philadelphia, Pennsylvania, USA",Walnut Street,3,14,3500,-75.1738283,39.95055034990229,279.27795356294644,9.277953562946436,189.27795356294644,idx0172_seg3_pt14_h9.jpg,gsv_sidewalk_250m\idx0172_seg3_pt14_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95055034990229,-75.17382829761576&heading=9.277953562946436",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0172_seg3_pt14_h9.jpg,0.342719727,0.113669434,0.265048828,0.068649902,0,0.16390625,seg_idx0172_seg3_pt14_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0172_seg3_pt14_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.3% building facades, 26.5% roadway, 16.4% sidewalks, 6.9% trees, 0.0% grass, and 11.4% sky.",20,13,21,18,72,"With about 16.4% sidewalks, the image shows continuous, relatively wide sidewalks and marked crosswalks that support walking, though the roadway (26.5%) still dominates space. Greenery is moderate with some street trees (6.9% trees, no grass), while substantial building facades (34.3%) in good condition create strong enclosure and, together with lighting and active ground floors, contribute to a generally comfortable and safe pedestrian environment."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,25,6250,-75.19165552,39.95432515,99.20631971120582,189.20631971120585,9.206319711205822,idx0105_seg0_pt25_h189.jpg,gsv_sidewalk_250m\idx0105_seg0_pt25_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.954325147318,-75.1916555161285&heading=189.20631971120585",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0105_seg0_pt25_h189.jpg,0.346213379,0.08880127,0.367514648,0.078757324,0,0.086518555,seg_idx0105_seg0_pt25_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0105_seg0_pt25_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.6% building facades, 36.8% roadway, 8.7% sidewalks, 7.9% trees, 0.0% grass, and 8.9% sky.",19,15,20,17,71,"Despite sidewalks being only about 8.7% of the pixels, the image shows a wide, continuous, unobstructed sidewalk with good paving at the corner. Around 7.9% trees plus substantial planted beds and mid-rise, well-maintained buildings enclosing the street create a comfortable, visually green environment, though the 36.8% roadway and visible traffic markings indicate some car dominance that slightly reduces comfort."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,40,10000,-75.15840562,39.95018690862887,99.30047683497486,189.3004768349749,9.300476835,idx0120_seg0_pt40_h189.jpg,gsv_sidewalk_250m\idx0120_seg0_pt40_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95018690862887,-75.15840562443081&heading=189.3004768349749",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0120_seg0_pt40_h189.jpg,0.44520752,0,0.000234375,0.154389648,0,0.245949707,seg_idx0120_seg0_pt40_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0120_seg0_pt40_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 44.5% building facades, 0.0% roadway, 24.6% sidewalks, 15.4% trees, 0.0% grass, and 0.0% sky.",20,14,19,18,71,"With about 24.6% sidewalks and no visible roadway, the image shows a wide, unobstructed sidewalk in good condition that supports comfortable walking. Roughly 15.4% trees provide some shade and greenery, while the well-maintained, continuous building facade (44.5%) and absence of traffic in view contribute to a fairly enclosed, calm, and safe-feeling pedestrian environment."
"Philadelphia, Pennsylvania, USA",Walnut Street,3,2,500,-75.14722693,39.94724775,279.3787123235776,9.378712323577588,189.3787123235776,idx0160_seg3_pt2_h9.jpg,gsv_sidewalk_250m\idx0160_seg3_pt2_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9472477454297,-75.14722692943248&heading=9.378712323577588",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0160_seg3_pt2_h9.jpg,0.545961914,0,0.10598877,0.101486816,0,0.124836426,seg_idx0160_seg3_pt2_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0160_seg3_pt2_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 54.6% building facades, 10.6% roadway, 12.5% sidewalks, 10.1% trees, 0.0% grass, and 0.0% sky.",20,10,22,19,71,"With about 12.5% sidewalks and only 10.6% roadway, plus a wide, unobstructed brick sidewalk and bollard protection, walkability and comfort are high. Roughly 54.6% building facades create a strong, well-maintained enclosure, while limited but present tree cover (10.1% trees, no grass) offers some greenery but little shade."
